date,Close,MA5,MA20,spread,cross,signal,trade,MA10,MA30,spread_10_30,cross_10_30
2024-06-26,171.84,,,,,0,0,,,,
2024-06-27,171.33,,,,,0,0,,,,
2024-06-28,166.36,,,,,0,0,,,,
2024-07-01,162.4,,,,,0,0,,,,
2024-07-02,162.41,166.868,,,,0,0,,,,
2024-07-03,165.83,165.666,,,,0,0,,,,
2024-07-04,165.93,164.58599999999998,,,,0,0,,,,
2024-07-05,163.95,164.10399999999998,,,,0,0,,,,
2024-07-08,162.24,164.072,,,,0,0,,,,
2024-07-09,162.1,164.01,,,,0,0,165.43900000000002,,,
2024-07-10,159.38,162.71999999999997,,,,0,0,164.193,,,
2024-07-11,163.34,162.202,,,,0,0,163.394,,,
2024-07-12,166.13,162.63799999999998,,,,0,0,163.371,,,
2024-07-15,164.45,163.07999999999998,,,,0,0,163.576,,,
2024-07-16,165.63,163.786,,,,0,0,163.89799999999997,,,
2024-07-17,167.22,165.35399999999998,,,,0,0,164.03699999999998,,,
2024-07-18,174.68,167.622,,,,0,0,164.91199999999998,,,
2024-07-19,175.77,169.55,,,,0,0,166.094,,,
2024-07-22,175.85,171.82999999999998,,,,0,0,167.455,,,
2024-07-23,172.53,173.20999999999998,166.9685,6.241499999999974,,1,0,168.498,,,
2024-07-24,172.65,174.296,167.009,7.287000000000006,0.0,1,0,169.825,,,
2024-07-25,174.06,174.172,167.1455,7.026499999999999,0.0,1,0,170.897,,,
2024-07-26,175.68,174.154,167.6115,6.54249999999999,0.0,1,0,171.852,,,
2024-07-29,170.86,173.156,168.0345,5.1214999999999975,0.0,1,0,172.493,,,
2024-07-30,171.22,172.894,168.475,4.419000000000011,0.0,1,0,173.05200000000002,,,
2024-07-31,172.64,172.892,168.8155,4.07650000000001,0.0,1,0,173.594,,,
2024-08-01,166.63,171.406,168.8505,2.555499999999995,0.0,1,0,172.78900000000002,,,
2024-08-02,163.42,168.954,168.824,0.12999999999999545,0.0,1,0,171.554,,,
2024-08-05,163.33,167.448,168.8785,-1.430499999999995,-2.0,0,-1,170.30200000000002,,,
2024-08-06,161.28,165.45999999999998,168.8375,-3.377500000000026,0.0,0,0,169.177,167.70466666666667,1.4723333333333244,
2024-08-07,160.0,162.93200000000002,168.86849999999998,-5.936499999999967,0.0,0,0,167.912,167.31,0.6020000000000039,0.0
2024-08-08,158.73,161.352,168.63799999999998,-7.285999999999973,0.0,0,0,166.379,166.89,-0.5109999999999957,-2.0
2024-08-09,156.33,159.934,168.148,-8.213999999999999,0.0,0,0,164.44400000000002,166.55566666666667,-2.1116666666666504,0.0
2024-08-12,155.33,158.334,167.692,-9.358000000000004,0.0,0,0,162.891,166.32,-3.429000000000002,0.0
2024-08-13,160.11,158.10000000000002,167.416,-9.315999999999974,0.0,0,0,161.78,166.24333333333334,-4.463333333333338,0.0
2024-08-14,158.54,157.808,166.98200000000003,-9.174000000000035,0.0,0,0,160.37,166.00033333333334,-5.63033333333334,0.0
2024-08-15,159.73,158.008,166.23449999999997,-8.226499999999959,0.0,0,0,159.68,165.79366666666664,-6.1136666666666315,0.0
2024-08-16,159.95,158.732,165.4435,-6.711500000000001,0.0,0,0,159.33300000000003,165.6603333333333,-6.327333333333286,0.0
2024-08-19,161.93,160.052,164.7475,-4.69550000000001,0.0,0,0,159.19299999999998,165.65,-6.457000000000022,0.0
2024-08-20,161.2,160.26999999999998,164.181,-3.91100000000003,0.0,0,0,159.185,165.61999999999998,-6.434999999999974,0.0
2024-08-21,160.34,160.63,163.5655,-2.9354999999999905,0.0,0,0,159.219,165.652,-6.432999999999993,0.0
2024-08-22,165.13,161.70999999999998,163.119,-1.4090000000000202,0.0,0,0,159.85899999999998,165.71166666666667,-5.852666666666693,0.0
2024-08-23,168.13,163.346,162.7415,0.6045000000000016,2.0,1,1,161.039,165.77833333333334,-4.739333333333349,0.0
2024-08-26,170.25,165.01,162.711,2.298999999999978,0.0,1,0,162.531,165.9716666666667,-3.4406666666666865,0.0
2024-08-27,169.83,166.73600000000002,162.6415,4.094500000000011,0.0,1,0,163.503,166.11166666666668,-2.608666666666693,0.0
2024-08-28,169.15,168.498,162.467,6.0309999999999775,0.0,1,0,164.564,166.176,-1.6119999999999948,0.0
2024-08-29,167.13,168.898,162.49200000000002,6.4059999999999775,0.0,1,0,165.304,165.92433333333332,-0.6203333333333205,0.0
2024-08-30,170.67,169.406,162.85449999999997,6.551500000000033,0.0,1,0,166.376,165.75433333333334,0.6216666666666697,2.0
2024-09-02,167.52,168.85999999999999,163.064,5.795999999999992,0.0,1,0,166.935,165.47666666666666,1.4583333333333428,0.0
2024-09-03,171.98,169.29,163.599,5.6910000000000025,0.0,1,0,168.013,165.45833333333334,2.5546666666666624,0.0
2024-09-04,173.48,170.156,164.273,5.88300000000001,0.0,1,0,169.327,165.486,3.841000000000008,0.0
2024-09-05,173.13,171.356,164.993,6.3629999999999995,0.0,1,0,170.127,165.45499999999998,4.6720000000000255,0.0
2024-09-06,172.28,171.678,165.7905,5.887499999999989,0.0,1,0,170.54199999999997,165.34166666666667,5.200333333333305,0.0
2024-09-09,171.48,172.46999999999997,166.598,5.871999999999957,0.0,1,0,170.66500000000002,165.36233333333334,5.302666666666681,0.0
2024-09-10,167.49,171.572,166.967,4.60499999999999,0.0,1,0,170.43099999999998,165.23799999999997,5.193000000000012,0.0
2024-09-11,172.89,171.454,167.6845,3.7694999999999936,0.0,1,0,170.80499999999998,165.24633333333333,5.558666666666653,0.0
2024-09-12,175.68,171.964,168.48200000000003,3.481999999999971,0.0,1,0,171.66,165.54800000000003,6.111999999999966,0.0
2024-09-13,169.83,171.474,168.976,2.4979999999999905,0.0,1,0,171.576,165.76166666666668,5.814333333333309,0.0
2024-09-18,172.73,171.724,169.51600000000002,2.20799999999997,0.0,1,0,172.09699999999998,166.075,6.021999999999991,0.0
2024-09-19,173.23,172.872,170.1175,2.7545000000000073,0.0,1,0,172.22199999999998,166.47333333333333,5.748666666666651,0.0
2024-09-20,171.93,172.68,170.697,1.983000000000004,0.0,1,0,172.06699999999998,166.871,5.1959999999999695,0.0
2024-09-23,174.53,172.45,171.167,1.282999999999987,0.0,1,0,172.207,167.39766666666668,4.8093333333333135,0.0
2024-09-24,183.85,175.254,171.953,3.3009999999999877,0.0,1,0,173.364,168.315,5.049000000000007,0.0
2024-09-25,189.43,178.594,172.91199999999998,5.682000000000016,0.0,1,0,175.159,169.45166666666668,5.70733333333331,0.0
2024-09-26,191.84,182.31599999999997,174.0125,8.303499999999985,0.0,1,0,177.594,170.50933333333333,7.084666666666664,0.0
2024-09-27,213.14,190.558,176.212,14.346000000000004,0.0,1,0,181.619,172.32933333333332,9.289666666666676,0.0
2024-09-30,238.22,203.296,179.7665,23.529499999999985,0.0,1,0,187.873,174.94566666666665,12.927333333333337,0.0
2024-10-08,285.33,223.592,185.4995,38.0925,0.0,1,0,199.423,179.125,20.298000000000002,0.0
2024-10-09,241.33,233.97199999999998,189.19,44.78199999999998,0.0,1,0,206.283,181.77166666666665,24.51133333333334,0.0
2024-10-10,244.33,244.47000000000003,192.8075,51.66250000000002,0.0,1,0,213.39300000000003,184.5426666666667,28.85033333333334,0.0
2024-10-11,228.12,247.46599999999998,195.5395,51.926499999999976,0.0,1,0,219.012,186.80200000000002,32.20999999999998,0.0
2024-10-14,236.05,247.032,198.6855,48.34650000000002,0.0,1,0,225.16400000000004,189.166,35.99800000000005,0.0
2024-10-15,227.55,235.47600000000003,201.449,34.027000000000015,0.0,1,0,229.53400000000002,191.14666666666665,38.38733333333337,0.0
2024-10-16,220.18,231.246,203.884,27.362000000000023,0.0,1,0,232.609,192.811,39.798,0.0
2024-10-17,217.83,225.946,206.401,19.544999999999987,0.0,1,0,235.20800000000003,194.411,40.797000000000025,0.0
2024-10-18,236.22,227.56599999999997,209.56750000000002,17.99849999999995,0.0,1,0,237.516,196.64666666666668,40.869333333333316,0.0
2024-10-21,239.69,228.294,212.76799999999997,15.526000000000039,0.0,1,0,237.663,199.06533333333334,38.59766666666667,0.0
2024-10-22,236.88,230.16000000000003,216.1205,14.039500000000032,0.0,1,0,232.81800000000004,201.27233333333334,31.545666666666705,0.0
2024-10-23,235.63,233.25,219.26550000000003,13.984499999999969,0.0,1,0,232.24800000000005,203.54266666666666,28.705333333333385,0.0
2024-10-24,232.49,236.18199999999996,222.2285,13.953499999999963,0.0,1,0,231.064,205.55966666666666,25.504333333333335,0.0
2024-10-25,245.21,237.97999999999996,225.89249999999998,12.087499999999977,0.0,1,0,232.773,207.95066666666665,24.822333333333347,0.0
2024-10-28,242.57,238.55599999999998,229.29450000000003,9.261499999999955,0.0,1,0,233.42500000000004,210.26533333333333,23.15966666666671,0.0
2024-10-29,238.11,238.802,232.00750000000002,6.794499999999971,0.0,1,0,234.481,212.45966666666666,22.02133333333333,0.0
2024-10-30,234.36,238.548,234.254,4.294000000000011,0.0,1,0,235.89900000000003,214.55566666666667,21.343333333333362,0.0
2024-10-31,232.31,238.512,236.2775,2.234499999999997,0.0,1,0,237.34699999999998,216.71633333333335,20.630666666666627,0.0
2024-11-01,232.53,235.97600000000003,237.24699999999999,-1.2709999999999582,-2.0,0,-1,236.978,218.70433333333332,18.273666666666685,0.0
2024-11-04,237.53,234.96800000000002,237.2125,-2.244499999999988,0.0,0,0,236.762,220.766,15.99600000000001,0.0
2024-11-05,247.72,236.89000000000001,235.33200000000002,1.5579999999999927,2.0,1,1,237.846,223.36233333333334,14.483666666666664,0.0
2024-11-06,242.83,238.584,235.407,3.1769999999999925,0.0,1,0,238.56599999999997,225.699,12.866999999999962,0.0
2024-11-07,249.13,241.948,235.647,6.301000000000016,0.0,1,0,240.23000000000002,228.22899999999998,12.001000000000033,0.0
2024-11-08,243.83,244.208,236.43249999999998,7.775500000000022,0.0,1,0,240.092,230.62566666666666,9.466333333333353,0.0
