date,Close,MA5,MA20,signal,trade
2024-07-26,1318.73,1345.8799999999999,1362.964,0,-1
2024-08-15,1323.43,1323.76,1323.551,1,1
2024-08-27,1300.61,1308.2779999999998,1312.937,0,-1
2024-09-27,1525.74,1334.808,1277.526,1,1
2024-10-28,1461.54,1453.85,1460.0715,0,-1
2024-11-07,1545.68,1472.3560000000002,1451.7984999999999,1,1
2024-11-19,1438.46,1458.984,1462.112,0,-1
2024-12-12,1462.34,1434.1,1426.469,1,1
2025-01-03,1395.42,1428.614,1438.507,0,-1
2025-02-14,1395.42,1366.934,1365.8215,1,1
2025-04-02,1469.44,1488.47,1493.2694999999999,0,-1
2025-04-21,1471.42,1481.242,1480.6075,1,1
2025-04-24,1472.67,1474.4180000000001,1476.535,0,-1
2025-05-08,1498.61,1475.2980000000002,1474.798,1,1
2025-05-26,1470.92,1494.434,1497.56,0,-1
2025-07-07,1358.72,1360.664,1359.4,1,1
2025-08-01,1365.02,1381.1740000000002,1382.716,0,-1
2025-08-21,1396.27,1385.386,1380.551,1,1
2025-09-22,1401.37,1424.472,1434.241,0,-1
2025-10-20,1405.95,1410.192,1406.1435000000001,1,1
2025-10-29,1379.92,1395.078,1396.717,0,-1
2025-11-12,1413.17,1399.0,1395.511,1,1
2025-11-27,1395.32,1399.96,1400.0594999999998,0,-1
2025-12-22,1380.24,1378.4759999999999,1377.6035,1,1
2026-01-15,1360.87,1380.0259999999998,1380.495,0,-1
2026-02-03,1446.9,1384.846,1361.225,1,1
2026-03-03,1398.17,1427.818,1434.6965,0,-1
2026-03-18,1440.78,1415.904,1414.127,1,1
2026-03-25,1382.25,1396.6879999999999,1398.5695,0,-1
2026-04-01,1431.42,1401.308,1396.4660000000001,1,1
2026-04-21,1383.99,1404.076,1409.6950000000002,0,-1
2026-07-14,1214.88,1202.468,1197.288,1,1
