Date,Close,MA5,MA20,signal,position,position_change,action
2024-07-22,123.33672332763672,,,0,0,0.0,
2024-07-23,122.38827514648438,,,0,0,0.0,
2024-07-24,114.06200408935548,,,0,0,0.0,
2024-07-25,112.09524536132812,,,0,0,0.0,
2024-07-26,112.87395477294922,116.95124053955078,,0,0,0.0,
2024-07-29,111.40637969970705,114.56517181396484,,0,0,0.0,
2024-07-30,103.5593032836914,110.79937744140625,,0,0,0.0,
2024-07-31,116.82743072509766,111.35246276855469,,0,0,0.0,
2024-08-01,109.03028869628906,110.73947143554688,,0,0,0.0,
2024-08-02,107.09347534179688,109.5833755493164,,0,0,0.0,
2024-08-05,100.28470611572266,107.35904083251953,,0,0,0.0,
2024-08-06,104.07846069335938,107.46287231445312,,0,0,0.0,
2024-08-07,98.74724578857422,103.84683532714844,,0,0,0.0,
2024-08-08,104.7972640991211,103.00023040771484,,0,0,0.0,
2024-08-09,104.57763671875,102.49706268310547,,0,0,0.0,
2024-08-12,108.84061431884766,104.20824432373047,,0,0,0.0,
2024-08-13,115.94889831542967,106.58233184814453,,0,0,0.0,
2024-08-14,117.8856964111328,110.41002197265625,,0,0,0.0,
2024-08-15,122.65784454345705,113.98213806152344,,0,0,0.0,
2024-08-16,124.375,117.94161071777344,111.74332237243652,1,0,0.0,
2024-08-19,129.78607177734375,122.13070220947266,112.06578979492187,1,1,1.0,买入
2024-08-20,127.04061889648438,124.34904632568359,112.29840698242188,1,1,0.0,
2024-08-21,128.28855895996094,126.42961883544922,113.00973472595214,1,1,0.0,
2024-08-22,123.53638458251952,126.60532684326172,113.58179168701172,1,1,0.0,
2024-08-23,129.15711975097656,127.56175079345704,114.39594993591308,1,1,0.0,
2024-08-26,126.25189971923828,126.85491638183593,115.13822593688965,1,1,0.0,
2024-08-27,128.08889770507812,127.06457214355468,116.36470565795898,1,1,0.0,
2024-08-28,125.4033203125,126.4875244140625,116.7935001373291,1,1,0.0,
2024-08-29,117.39649200439452,125.2595458984375,117.21181030273438,1,1,0.0,
2024-08-30,119.17357635498048,123.26283721923828,117.81581535339356,1,1,0.0,
2024-09-03,107.82229614257812,119.57691650390625,118.19269485473633,1,1,0.0,
2024-09-04,106.03523254394533,115.16618347167969,118.29053344726563,0,1,0.0,
2024-09-05,107.0335922241211,111.4922378540039,118.70485076904296,0,0,-1.0,卖出
2024-09-06,102.66080474853516,108.54510040283203,118.59802780151367,0,0,0.0,
2024-09-09,106.2947998046875,105.96934509277344,118.68388595581055,0,0,0.0,
2024-09-10,107.922119140625,105.98930969238282,118.63796119689941,0,0,0.0,
2024-09-11,116.7176284790039,108.12578887939453,118.67639770507813,0,0,0.0,
2024-09-12,118.95413208007812,110.50989685058593,118.7298194885254,0,0,0.0,
2024-09-13,118.91419219970705,113.76057434082031,118.54263687133789,0,0,0.0,
2024-09-16,116.59781646728516,115.82117767333985,118.15377769470214,0,0,0.0,
2024-09-17,115.40966796875,117.31868743896484,117.43495750427246,0,0,0.0,
2024-09-18,113.19313049316406,116.61378784179688,116.74258308410644,0,0,0.0,
2024-09-19,117.68611907958984,116.36018524169921,116.21246109008788,1,0,0.0,
2024-09-20,115.81903839111328,115.74115447998047,115.82659378051758,0,1,1.0,买入
2024-09-23,116.07861328125,115.63731384277344,115.17266845703125,1,0,-1.0,卖出
2024-09-24,120.6814422607422,116.69166870117188,114.89414558410644,1,1,1.0,买入
2024-09-25,123.31731414794922,118.71650543212891,114.65556640625,1,1,0.0,
2024-09-26,123.8464813232422,119.94857788085938,114.57772445678711,1,1,0.0,
2024-09-27,121.21060943603516,121.02689208984376,114.76843032836913,1,1,0.0,
2024-09-30,121.25054931640624,122.061279296875,114.87227897644043,1,1,0.0,
2024-10-01,116.81745910644533,121.28848266601562,115.3220371246338,1,1,0.0,
2024-10-02,118.66458129882812,120.35793609619141,115.95350456237793,1,1,0.0,
2024-10-03,122.6583480834961,120.12030944824218,116.73474235534668,1,1,0.0,
2024-10-04,124.72511291503906,120.82321014404297,117.83795776367188,1,1,0.0,
2024-10-07,127.52073669433594,122.0772476196289,118.8992546081543,1,1,0.0,
2024-10-08,132.68267822265625,125.25029144287109,120.13728256225586,1,1,0.0,
2024-10-09,132.44305419921875,128.00598602294923,120.92355384826661,1,1,0.0,
2024-10-10,134.5996856689453,130.39425354003907,121.70583152770996,1,1,0.0,
2024-10-11,134.58970642089844,132.36717224121094,122.48960723876954,1,1,0.0,
2024-10-14,137.85459899902344,134.43394470214844,123.55244636535645,1,1,0.0,
2024-10-15,131.39468383789062,134.1763458251953,124.35169715881348,1,1,0.0,
2024-10-16,135.5082550048828,134.7893859863281,125.46745338439942,1,1,0.0,
2024-10-17,136.71636962890625,135.2127227783203,126.41896591186523,1,1,0.0,
2024-10-18,137.7847137451172,135.85172424316406,127.51724967956542,1,1,0.0,
2024-10-21,143.48580932617188,136.97796630859375,128.88760948181152,1,1,0.0,
2024-10-22,143.36598205566406,139.37222595214843,130.0218364715576,1,1,0.0,
2024-10-23,139.34228515625,140.13903198242187,130.82308502197264,1,1,0.0,
2024-10-24,140.1909637451172,140.83395080566407,131.64030914306642,1,1,0.0,
2024-10-25,141.31918334960938,141.5408447265625,132.6457378387451,1,1,0.0,
2024-10-28,140.30075073242188,140.9038330078125,133.5982479095459,1,1,0.0,
2024-10-29,141.02964782714844,140.4365661621094,134.80885734558106,1,1,0.0,
2024-10-30,139.1226043701172,140.39263000488282,135.8317584991455,1,1,0.0,
2024-10-31,132.55287170410156,138.8650115966797,136.32648468017578,1,1,0.0,
2024-11-01,135.18875122070312,137.63892517089843,136.84966659545898,1,1,0.0,
2024-11-04,135.83773803710938,136.74632263183594,137.26551666259766,0,1,0.0,
2024-11-05,139.6917266845703,136.4787384033203,137.61596908569337,0,0,-1.0,卖出
2024-11-06,145.38282775878906,137.73078308105468,138.26295776367186,0,0,0.0,
2024-11-07,148.6477508544922,140.94975891113282,138.96536102294922,1,0,0.0,
2024-11-08,147.39967346191406,143.391943359375,139.605859375,1,1,1.0,买入
2024-11-11,145.0334014892578,145.2310760498047,139.9647994995117,1,1,0.0,
2024-11-12,148.05865478515625,146.9044616699219,140.797998046875,1,1,0.0,
2024-11-13,146.04180908203125,147.0362579345703,141.3246757507324,1,1,0.0,
2024-11-14,146.53102111816406,146.6129119873047,141.8154083251953,1,1,0.0,
2024-11-15,141.7584991455078,145.48467712402345,142.01409759521485,1,1,0.0,
2024-11-18,139.9313507080078,144.46426696777343,141.83637466430665,1,1,0.0,
2024-11-19,146.78062438964844,144.2086608886719,142.00710678100586,1,1,0.0,
2024-11-20,145.6623992919922,144.13277893066407,142.32311248779297,1,1,0.0,
2024-11-21,146.4412078857422,144.11481628417968,142.63562469482423,1,1,0.0,
2024-11-22,141.72854614257812,144.10882568359375,142.65609283447264,1,1,0.0,
2024-11-25,135.80780029296875,143.28411560058595,142.4314453125,1,1,0.0,
2024-11-26,136.70639038085938,141.26926879882814,142.21528244018555,0,1,0.0,
2024-11-27,135.1288604736328,139.16256103515624,142.01559524536134,0,0,-1.0,卖出
2024-11-29,138.0343017578125,137.4811798095703,142.28966674804687,0,0,0.0,
2024-12-02,138.4137420654297,136.81821899414064,142.4509162902832,0,0,0.0,
2024-12-03,140.04116821289062,137.664892578125,142.66108779907228,0,0,0.0,
2024-12-04,144.91354370117188,139.3063232421875,142.92217864990235,0,0,0.0,
2024-12-05,144.8436737060547,141.24928588867186,142.8952209472656,0,0,0.0,
2024-12-06,142.2275848388672,142.08794250488282,142.57421264648437,0,0,0.0,
2024-12-09,138.6029815673828,142.12579040527345,142.1343780517578,0,0,0.0,
2024-12-10,134.8685760498047,141.09127197265624,141.62613677978516,0,0,0.0,
2024-12-11,139.1022491455078,139.92901306152345,141.17831649780274,0,0,0.0,
2024-12-12,137.13519287109375,138.38731689453124,140.73298568725585,0,0,0.0,
2024-12-13,134.04978942871094,136.7517578125,140.1089241027832,0,0,0.0,
2024-12-16,131.80313110351562,135.39178771972655,139.61115570068358,0,0,0.0,
2024-12-17,130.19554138183594,134.45718078613282,139.124365234375,0,0,0.0,
2024-12-18,128.71774291992188,132.38027954101562,138.22122116088866,0,0,0.0,
2024-12-19,130.485107421875,131.05026245117188,137.4623565673828,0,0,0.0,
2024-12-20,134.49911499023438,131.14012756347657,136.86525192260743,0,0,0.0,
2024-12-23,139.46168518066406,132.67183837890624,136.7519088745117,0,0,0.0,
2024-12-24,140.01087951660156,134.63490600585936,136.96206283569336,0,0,0.0,
2024-12-26,139.7213134765625,136.8356201171875,137.11280899047853,0,0,0.0,
2024-12-27,136.8056640625,138.0997314453125,137.19664916992187,1,0,0.0,
2024-12-30,137.2849578857422,138.65690002441406,137.15918197631837,1,1,1.0,买入
