Date,Close,MA5,MA20,signal,position,position_change,action
2021-07-20,18.54784393310547,,,0,0,0.0,
2021-07-21,19.34308815002441,,,0,0,0.0,
2021-07-22,19.526464462280277,,,0,0,0.0,
2021-07-23,19.490589141845703,,,0,0,0.0,
2021-07-26,19.22749710083008,19.227096557617188,,0,0,0.0,
2021-07-27,19.141788482666016,19.345885467529296,,0,0,0.0,
2021-07-28,19.435773849487305,19.364422607421876,,0,0,0.0,
2021-07-29,19.594226837158203,19.377975082397462,,0,0,0.0,
2021-07-30,19.431785583496094,19.36621437072754,,0,0,0.0,
2021-08-02,19.681921005249023,19.457099151611327,,0,0,0.0,
2021-08-03,19.74669647216797,19.57808074951172,,0,0,0.0,
2021-08-04,20.20411872863769,19.731749725341796,,0,0,0.0,
2021-08-05,20.56586456298828,19.92607727050781,,0,0,0.0,
2021-08-06,20.295799255371094,20.098880004882812,,0,0,0.0,
2021-08-09,20.225048065185547,20.207505416870116,,0,0,0.0,
2021-08-10,19.867280960083008,20.231622314453126,,0,0,0.0,
2021-08-11,19.63109970092773,20.117018508911134,,0,0,0.0,
2021-08-12,19.836389541625977,19.971123504638673,,0,0,0.0,
2021-08-13,20.118410110473636,19.93564567565918,,0,0,0.0,
2021-08-16,19.88123321533203,19.866882705688475,19.689645957946777,1,0,0.0,
2021-08-17,19.39093017578125,19.771612548828124,19.731800270080566,1,1,1.0,买入
2021-08-18,18.974367141723636,19.640266036987306,19.71336421966553,0,1,0.0,
2021-08-19,19.729759216308597,19.61893997192383,19.723528957366945,0,0,-1.0,卖出
2021-08-20,20.74424934387207,19.744107818603517,19.78621196746826,0,0,0.0,
2021-08-23,21.88231086730957,20.144323348999023,19.918952655792236,1,0,0.0,
2021-08-24,21.71788215637207,20.609713745117187,20.04775733947754,1,1,1.0,买入
2021-08-25,22.13643455505371,21.242127227783204,20.18279037475586,1,1,0.0,
2021-08-26,21.99193572998047,21.69456253051758,20.302675819396974,1,1,0.0,
2021-08-27,22.557971954345703,22.057307052612305,20.458985137939454,1,1,0.0,
2021-08-30,22.60979652404785,22.202804183959962,20.605378913879395,1,1,0.0,
2021-08-31,22.3117733001709,22.321582412719728,20.73363275527954,1,1,0.0,
2021-09-01,22.36759185791016,22.36781387329102,20.841806411743164,1,1,0.0,
2021-09-02,22.322736740112305,22.433974075317384,20.929650020599365,1,1,0.0,
2021-09-03,22.76827621459961,22.476034927368165,21.05327386856079,1,1,0.0,
2021-09-07,22.587867736816406,22.471649169921875,21.171414852142334,1,1,0.0,
2021-09-08,22.26593017578125,22.462480545043945,21.291347312927247,1,1,0.0,
2021-09-09,22.104454040527344,22.409852981567383,21.415015029907227,1,1,0.0,
2021-09-10,22.404468536376957,22.42619934082031,21.543418979644777,1,1,0.0,
2021-09-13,22.07953643798828,22.288451385498046,21.64147529602051,1,1,0.0,
2021-09-14,22.169239044189453,22.204725646972655,21.75587558746338,1,1,0.0,
2021-09-15,22.267919540405277,22.205123519897462,21.89972505569458,1,1,0.0,
2021-09-16,22.169239044189453,22.218080520629883,22.05946865081787,1,1,0.0,
2021-09-17,21.82836151123047,22.102859115600587,22.164398765563966,0,1,0.0,
2021-09-20,21.04393577575684,21.895738983154295,22.179383087158204,0,0,-1.0,卖出
2021-09-21,21.17650032043457,21.69719123840332,22.144092559814453,0,0,0.0,
2021-09-22,21.86922264099121,21.617451858520507,22.15165958404541,0,0,0.0,
2021-09-23,22.4084587097168,21.66529579162598,22.165260791778564,0,0,0.0,
2021-09-24,22.008766174316406,21.70137672424317,22.16610231399536,0,0,0.0,
2021-09-27,21.58914566040039,21.810418701171876,22.117660999298096,0,0,0.0,
2021-09-28,20.63129234313965,21.70137710571289,22.018735790252684,0,0,0.0,
2021-09-29,20.449880599975582,21.417508697509767,21.92564115524292,0,0,0.0,
2021-09-30,20.64823341369629,21.065463638305665,21.839673233032226,0,0,0.0,
2021-10-01,20.67414665222168,20.79853973388672,21.757243728637697,0,0,0.0,
2021-10-04,19.667455673217773,20.414201736450195,21.602202701568604,0,0,0.0,
2021-10-05,20.38410377502441,20.364764022827146,21.492014503479005,0,0,0.0,
2021-10-06,20.632287979125977,20.401245498657225,21.41033239364624,0,0,0.0,
2021-10-07,21.00606155395508,20.472811126708983,21.355412769317628,0,0,0.0,
2021-10-08,20.76285552978516,20.490552902221683,21.273332118988037,0,0,0.0,
2021-10-11,20.62730407714844,20.682522583007813,21.200720500946044,0,0,0.0,
2021-10-12,20.603382110595703,20.726378250122075,21.122427654266357,0,0,0.0,
2021-10-13,20.87050437927246,20.77402153015137,21.052556896209715,0,0,0.0,
2021-10-14,21.674863815307617,20.907781982421874,21.027838134765624,0,0,0.0,
2021-10-15,21.790483474731445,21.113307571411134,21.025944232940674,1,0,0.0,
2021-10-18,22.149303436279297,21.417707443237305,21.0812126159668,1,1,1.0,买入
2021-10-19,22.217084884643555,21.740447998046875,21.133241844177245,1,1,0.0,
2021-10-20,22.03069877624512,21.972486877441405,21.141315650939944,1,1,0.0,
2021-10-21,22.617769241333008,22.161067962646484,21.151781177520753,1,1,0.0,
2021-10-22,22.65165901184082,22.33330307006836,21.183925819396975,1,1,0.0,
2021-10-25,23.090221405029297,22.521486663818358,21.258979606628422,1,1,0.0,
2021-10-26,24.63614273071289,23.005298233032228,21.459222126007084,1,1,0.0,
2021-10-27,24.37101173400879,23.47336082458496,21.655278682708744,1,1,0.0,
2021-10-28,24.859413146972656,23.921689605712892,21.86583766937256,1,1,0.0,
2021-10-29,25.48336601257324,24.488031005859376,22.106298637390136,1,1,0.0,
2021-11-01,25.742509841918945,25.018488693237305,22.410051345825195,1,1,0.0,
2021-11-02,26.31463432312012,25.35418701171875,22.706577873229982,1,1,0.0,
2021-11-03,26.510995864868164,25.782183837890624,23.000513267517093,1,1,0.0,
2021-11-04,29.703516006469727,26.75100440979004,23.435385990142827,1,1,0.0,
2021-11-05,29.65467071533203,27.585265350341796,23.87997674942017,1,1,0.0,
2021-11-08,30.70323371887207,28.57741012573242,24.383773231506346,1,1,0.0,
2021-11-09,30.55671119689941,29.42582550048828,24.881439685821533,1,1,0.0,
2021-11-10,29.362628936767575,29.996152114868163,25.306045913696288,1,1,0.0,
2021-11-11,30.290590286254883,30.113566970825197,25.736832237243654,1,1,0.0,
2021-11-12,30.290590286254883,30.240750885009767,26.161837577819824,1,1,0.0,
2021-11-15,29.926780700683597,30.08546028137207,26.55071144104004,1,1,0.0,
2021-11-16,30.10420036315918,29.994958114624023,26.94506721496582,1,1,0.0,
2021-11-17,29.165281295776367,29.95548858642578,27.30179634094238,1,1,0.0,
2021-11-18,31.57138061523437,30.21164665222168,27.74947690963745,1,1,0.0,
2021-11-19,32.877098083496094,30.728948211669923,28.260748863220215,1,1,0.0,
2021-11-22,31.85146141052246,31.113884353637694,28.698810863494874,1,1,0.0,
2021-11-23,31.642147064208984,31.421473693847656,29.049111080169677,1,1,0.0,
2021-11-24,32.56711959838867,32.101841354370116,29.458916473388673,1,1,0.0,
2021-11-26,31.399946212768555,32.06755447387695,29.785943126678468,1,1,0.0,
2021-11-29,33.266815185546875,32.14549789428711,30.17511558532715,1,1,0.0,
2021-11-30,32.56910705566406,32.28902702331543,30.516445446014405,1,1,0.0,
2021-12-01,31.33600234985352,32.22779808044434,30.767513847351076,1,1,0.0,
2021-12-02,32.02482223510742,32.11933860778809,31.043205165863036,1,1,0.0,
2021-12-03,30.59634017944336,31.958617401123046,31.08784637451172,1,1,0.0,
2021-12-06,29.942407608032227,31.293735885620116,31.10223321914673,1,1,0.0,
2021-12-07,32.32487869262695,31.244890213012695,31.183315467834472,1,1,0.0,
