卖出日,买入价,卖出价,本轮收益,结果
2024-09-09,224.21,219.27,-2.20%,输
2024-11-04,225.68,220.36,-2.36%,输
2025-01-06,227.07,243.44,+7.21%,赢
2025-02-10,226.56,226.45,-0.05%,输
2025-03-05,240.26,234.5,-2.40%,输
2025-04-04,222.71,187.39,-15.86%,输
2025-05-09,209.04,197.49,-5.52%,输
2025-05-23,210.61,194.5,-7.65%,输
2025-08-01,200.29,201.58,+0.65%,赢
2025-10-15,226.54,248.64,+9.75%,赢
2025-11-21,257.72,270.99,+5.15%,赢
2025-12-18,277.04,271.69,-1.93%,输
2026-02-20,268.98,264.34,-1.73%,输
2026-03-04,272.7,262.28,-3.82%,输
2026-06-10,253.27,291.58,+15.13%,赢
