卖出日,买入价,卖出价,本轮收益,结果
2024-09-05,129.79,107.03,-17.53%,输
2024-09-23,115.82,116.08,+0.22%,赢
2024-11-05,120.68,139.69,+15.75%,赢
2024-11-27,147.4,135.13,-8.32%,输
2025-01-15,137.28,136.04,-0.91%,输
2025-01-29,147.0,123.52,-15.98%,输
2025-02-28,135.09,124.73,-7.67%,输
2025-04-01,120.52,110.0,-8.73%,输
2025-04-17,104.34,101.35,-2.87%,输
2025-08-22,108.87,177.75,+63.27%,赢
2025-09-02,173.95,170.55,-1.95%,输
2025-10-17,174.66,182.99,+4.77%,赢
2025-11-14,206.78,189.93,-8.15%,输
2025-12-16,180.71,177.5,-1.77%,输
2026-01-15,190.3,186.82,-1.83%,输
2026-02-05,191.29,171.67,-10.25%,输
2026-03-04,182.59,182.82,+0.13%,赢
2026-05-07,183.7,211.25,+15.00%,赢
2026-06-01,214.95,224.1,+4.26%,赢
