卖出日,买入价,卖出价,本轮收益,结果
2021-08-19,19.39,19.73,+1.75%,赢
2021-09-20,21.72,21.04,-3.10%,输
2021-12-10,22.15,30.1,+35.91%,赢
2022-01-06,29.49,28.09,-4.76%,输
2022-02-24,25.74,23.67,-8.04%,输
2022-04-08,26.65,23.05,-13.52%,输
2022-06-14,19.53,15.79,-19.15%,输
2022-08-23,17.76,17.13,-3.52%,输
2022-12-22,13.23,15.3,+15.70%,赢
2023-04-18,16.86,27.61,+63.75%,赢
2023-04-26,27.05,26.9,-0.55%,输
2023-08-08,28.15,44.58,+58.34%,赢
2023-09-13,47.07,45.4,-3.55%,输
2023-10-20,44.6,41.31,-7.39%,输
2023-12-01,45.87,46.68,+1.76%,赢
2024-01-08,49.99,52.16,+4.35%,赢
2024-04-04,53.05,85.76,+61.67%,赢
2024-07-01,85.67,124.1,+44.85%,赢
2024-07-03,122.47,128.07,+4.57%,赢
2024-07-18,134.69,120.89,-10.24%,输
2024-09-05,124.38,107.03,-13.94%,输
2024-09-23,115.82,116.08,+0.22%,赢
2024-11-05,120.68,139.69,+15.75%,赢
2024-11-27,147.4,135.13,-8.32%,输
2025-01-15,137.28,136.04,-0.91%,输
2025-01-29,147.0,123.52,-15.98%,输
2025-02-28,135.09,124.73,-7.67%,输
2025-04-01,120.52,110.0,-8.73%,输
2025-04-17,104.34,101.35,-2.87%,输
2025-08-22,108.87,177.75,+63.27%,赢
2025-09-02,173.95,170.55,-1.95%,输
2025-10-17,174.66,182.99,+4.77%,赢
2025-11-14,206.78,189.93,-8.15%,输
2025-12-16,180.71,177.5,-1.77%,输
2026-01-15,190.3,186.82,-1.83%,输
2026-02-05,191.29,171.67,-10.25%,输
2026-03-04,182.59,182.82,+0.13%,赢
2026-05-07,183.7,211.25,+15.00%,赢
2026-06-01,214.95,224.1,+4.26%,赢
