Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2024-07-29,202.34812927246094,204.99683550482567,202.06022291940437,204.07553810374966,6533600
2024-07-30,206.51312255859375,207.08892060425245,204.37304460068856,204.63214713164874,8850700
2024-07-31,204.21949768066406,207.66473846208044,204.09473484474648,206.11965617262393,9071600
2024-08-01,199.57461547851562,205.20791986662968,198.05832269284576,204.60331812505595,10918600
2024-08-02,191.11029052734375,196.4173090899953,188.951014866982,195.65916985684163,18041700
2024-08-05,187.04124450683594,188.26003972022244,183.2025323392783,186.2255269573448,13927000
2024-08-06,192.26190185546875,194.4307836748442,186.17754637997143,187.5210898263343,10605800
2024-08-07,192.31948852539062,197.4537723017031,192.1275558309593,195.30408805090468,9204400
2024-08-08,195.83189392089844,196.64762609323657,193.65342072084405,194.30600938741946,7761200
2024-08-09,197.50172424316406,198.1447067098513,194.7186494132603,195.26567287144812,5540200
2024-08-12,197.87603759765625,198.78772889996102,195.44805308023797,198.0871679594775,6936000
2024-08-13,199.55545043945312,199.6993962854889,197.11786006073427,199.35391161147854,6387800
2024-08-14,201.7626953125,202.26171729780307,198.76849018306535,199.36350046327019,6999800
2024-08-15,203.0198974609375,205.26554061728052,202.58804526064463,204.41142772567014,7001000
2024-08-16,205.34228515625,205.45744182040994,203.05824702692524,203.15422067607378,7931200
2024-08-19,206.7626495361328,206.83942554351694,205.19838414670022,205.37111918066995,6090800
2024-08-20,205.87013244628906,207.290451812223,205.0639917823852,206.33077379457382,5640000
2024-08-21,205.9468994140625,206.33076474687974,204.25785680520957,205.7837412719152,5202300
2024-08-22,207.8950653076172,208.05820882254338,205.6973943235858,205.92772233240674,5247100
2024-08-23,209.50730895996094,210.3518303146011,207.770294063869,208.82594575716917,7214000
2024-08-26,210.33262634277344,210.82205685305937,209.25779166440867,210.17907434771442,5105200
2024-08-27,211.30189514160156,211.53222313341251,210.3518232928703,210.65891263842738,5185200
2024-08-28,212.36717224121094,213.25008902913484,210.35185690406252,210.4094352503344,6506400
2024-08-29,213.25006103515625,213.98900257334432,210.1119097835547,213.19246805291826,6416100
2024-08-30,215.7356414794922,216.38821556365377,212.98135535356386,213.52837890369267,8574100
2024-09-03,211.41708374023438,215.0638633692745,210.39982731942075,213.33643989830546,8956100
2024-09-04,210.48617553710938,213.11569850429112,208.4516628819831,212.12721670145393,7389500
2024-09-05,208.85472106933594,211.89689847369655,207.31923046160043,211.27309900776237,8067900
2024-09-06,203.8932342529297,209.92001210171208,202.57846517785322,208.8259795532013,7777000
2024-09-09,208.0677947998047,209.35375986693387,205.54383685302398,206.51312105129102,8935100
2024-09-10,197.2714080810547,209.82399812562028,192.52100489184315,209.78561744862617,28406900
2024-09-11,198.8740997314453,199.32514963525801,193.69184355782366,196.97394108692092,13658700
2024-09-12,198.26950073242188,200.3615919553569,196.62844474311245,199.27715101962826,9054400
