date,open,high,low,close,volume
2023-06-28,128.94,131.48,128.44,129.04,52149512.0
2023-06-29,128.77,129.26,127.26,127.9,40760959.0
2023-06-30,129.47,131.25,128.95,130.36,54350684.0
2023-07-03,130.82,131.85,130.07,130.22,28264785.0
2023-07-05,130.24,131.4,129.64,130.38,35895409.0
2023-07-06,128.25,128.73,127.37,128.36,40697848.0
2023-07-07,128.59,130.97,128.13,129.78,41992251.0
2023-07-10,129.07,129.28,125.92,127.13,61889289.0
2023-07-11,127.75,129.77,127.35,128.78,49951460.0
2023-07-12,130.31,131.26,128.83,130.8,54022847.0
2023-07-13,134.04,134.67,132.71,134.3,61170883.0
2023-07-14,134.06,136.65,134.06,134.68,54487090.0
2023-07-17,134.56,135.62,133.21,133.56,48450198.0
2023-07-18,132.71,133.86,131.36,132.83,54969133.0
2023-07-19,133.39,135.99,132.53,135.36,54531037.0
2023-07-20,134.07,134.79,129.33,129.96,59820579.0
2023-07-21,131.34,131.37,128.42,130.0,133307294.0
2023-07-24,130.31,131.66,128.35,128.8,45671535.0
2023-07-25,129.31,129.58,128.53,129.13,39236663.0
2023-07-26,126.51,129.08,126.11,128.15,53910087.0
2023-07-27,131.0,132.63,127.79,128.25,52610661.0
2023-07-28,129.69,133.01,129.33,132.21,46317381.0
2023-07-31,133.2,133.87,132.38,133.68,41901516.0
2023-08-01,133.55,133.69,131.62,131.69,42298925.0
2023-08-02,130.15,130.23,126.82,128.21,51027614.0
2023-08-03,127.48,129.84,126.41,128.91,91163736.0
2023-08-04,141.06,143.63,139.32,139.57,153128470.0
2023-08-07,140.99,142.54,138.95,142.22,71213112.0
2023-08-08,140.62,140.84,138.42,139.94,51710497.0
2023-08-09,139.97,140.32,137.1,137.85,50017349.0
2023-08-10,139.08,140.41,137.49,138.56,58928402.0
2023-08-11,137.4,139.33,137.0,138.41,42905833.0
2023-08-14,138.3,140.59,137.75,140.57,47148699.0
2023-08-15,140.05,141.28,137.23,137.67,42781521.0
2023-08-16,137.19,137.27,135.01,135.07,41675903.0
2023-08-17,135.46,136.09,133.53,133.98,48354085.0
2023-08-18,131.62,134.07,131.15,133.22,48497698.0
2023-08-21,133.74,135.19,132.71,134.68,41442483.0
2023-08-22,135.08,135.65,133.73,134.25,32935104.0
2023-08-23,134.5,135.95,133.22,135.52,42801043.0
2023-08-24,136.4,136.78,131.83,131.84,43646250.0
2023-08-25,132.47,133.87,130.58,133.26,44147451.0
2023-08-28,133.78,133.95,131.85,133.14,34108410.0
2023-08-29,133.38,135.14,133.25,134.91,38646093.0
2023-08-30,134.93,135.68,133.92,135.07,36137015.0
2023-08-31,135.06,138.79,135.0,138.01,58781314.0
2023-09-01,139.46,139.96,136.88,138.12,40991536.0
2023-09-05,137.73,137.8,135.82,137.27,40636738.0
2023-09-06,136.32,137.45,134.61,135.36,41785507.0
2023-09-07,133.9,138.03,133.16,137.85,48498912.0
2023-09-08,136.86,138.85,136.75,138.23,38365929.0
