date,open,high,low,close,volume
2023-06-28,115.23,118.53,114.99,118.32,27091449.0
2023-06-29,117.38,118.2,116.44,117.24,24090902.0
2023-06-30,118.31,119.22,117.83,117.84,29532241.0
2023-07-03,117.38,118.33,116.96,118.04,14467850.0
2023-07-05,117.38,120.75,117.37,119.89,27584809.0
2023-07-06,117.94,118.44,116.54,118.25,24778801.0
2023-07-07,118.24,119.19,117.54,117.62,21709549.0
2023-07-10,116.44,116.45,114.28,114.59,35315235.0
2023-07-11,114.43,115.85,113.49,115.28,23078782.0
2023-07-12,116.94,118.47,116.55,117.07,30404409.0
2023-07-13,119.07,122.97,118.59,122.68,44297915.0
2023-07-14,122.94,124.92,121.63,123.56,33283076.0
2023-07-17,124.08,125.24,122.34,122.79,25716215.0
2023-07-18,122.74,122.82,121.1,121.9,26226447.0
2023-07-19,122.74,123.32,119.94,120.17,37224033.0
2023-07-20,119.56,122.23,116.36,117.34,37906763.0
2023-07-21,118.76,119.13,116.87,118.16,71606474.0
2023-07-24,119.8,121.14,119.12,119.67,29723667.0
2023-07-25,119.5,121.29,119.16,120.35,52509551.0
2023-07-26,128.21,129.12,126.46,127.41,61682093.0
2023-07-27,129.81,131.38,126.93,127.54,44952074.0
2023-07-28,128.92,131.88,128.71,130.72,36591158.0
2023-07-31,130.87,131.67,129.92,130.86,28055531.0
2023-08-01,128.92,130.77,128.82,129.69,23276440.0
2023-08-02,127.59,128.23,125.7,126.52,26273258.0
2023-08-03,126.11,127.53,125.56,126.59,20159528.0
2023-08-04,127.42,129.65,126.05,126.25,26147158.0
2023-08-07,127.3,129.75,127.16,129.67,22746290.0
2023-08-08,128.76,129.65,127.69,129.54,23535181.0
2023-08-09,129.8,130.18,127.14,127.8,24912918.0
2023-08-10,129.46,130.19,127.59,127.83,20857754.0
2023-08-11,126.8,128.07,126.31,127.7,19591080.0
2023-08-14,127.53,129.51,127.1,129.47,24695608.0
2023-08-15,129.24,129.56,127.42,127.92,19770732.0
2023-08-16,126.84,128.42,126.01,126.84,25216068.0
2023-08-17,127.94,130.13,127.43,128.06,33446280.0
2023-08-18,126.65,127.39,124.52,125.6,30504769.0
2023-08-21,125.32,126.87,124.7,126.51,25248729.0
2023-08-22,126.65,128.42,126.46,127.22,22067520.0
2023-08-23,128.32,131.55,128.01,130.51,27819713.0
2023-08-24,132.09,132.39,127.71,127.92,28500694.0
2023-08-25,127.68,128.9,125.39,128.02,26762891.0
2023-08-28,129.45,130.68,128.28,129.15,20543266.0
2023-08-29,130.38,134.71,130.38,132.71,43075556.0
2023-08-30,132.92,134.42,132.21,134.02,28315769.0
2023-08-31,134.15,136.14,133.93,134.31,30053800.0
2023-09-01,135.6,135.6,132.99,133.8,21543687.0
2023-09-05,133.58,134.56,132.72,133.91,19403112.0
2023-09-06,134.16,134.67,131.81,132.6,18684534.0
2023-09-07,131.73,133.72,131.09,133.4,18844342.0
2023-09-08,133.05,134.8,132.99,134.52,23584188.0
2023-09-11,134.68,135.62,133.93,135.06,20763350.0
2023-09-12,134.4,135.01,133.33,133.48,18405505.0
2023-09-13,133.23,135.04,132.29,134.85,20749496.0
2023-09-14,135.74,136.84,134.38,136.24,24750968.0
2023-09-15,136.12,136.66,134.62,135.54,38919614.0
2023-09-18,134.75,137.3,134.75,136.35,21861346.0
2023-09-19,135.56,136.55,134.76,136.18,20353653.0
2023-09-20,136.22,136.22,131.76,131.88,29927475.0
2023-09-21,129.58,130.37,128.21,128.58,31503910.0
2023-09-22,128.9,130.17,127.74,128.39,26397337.0
2023-09-25,127.97,129.31,127.1,129.25,20094643.0
2023-09-26,127.91,128.5,125.36,126.71,25718704.0
2023-09-27,126.71,129.04,126.71,128.68,22746452.0
2023-09-28,127.98,131.44,127.93,130.45,22513132.0
2023-09-29,131.42,132.19,128.5,129.0,30859790.0
2023-10-02,129.35,132.56,129.31,132.31,22288038.0
2023-10-03,132.08,132.4,129.98,130.57,22989401.0
2023-10-04,130.93,133.71,130.67,133.38,26752295.0
2023-10-05,133.21,133.63,131.59,133.21,19832615.0
2023-10-06,132.15,136.3,132.15,135.72,27597598.0
2023-10-09,135.08,137.08,133.75,136.56,19278070.0
2023-10-10,136.64,137.86,135.47,136.2,27786613.0
2023-10-11,136.72,139.25,136.72,138.69,25884303.0
2023-10-12,139.19,139.36,136.4,137.11,24765537.0
2023-10-13,137.52,138.14,134.76,135.5,23435599.0
2023-10-16,136.31,137.77,136.13,137.24,28501871.0
2023-10-17,136.77,138.04,135.32,137.86,23515780.0
2023-10-18,137.59,138.86,135.52,136.1,23374998.0
2023-10-19,136.64,137.8,135.52,135.89,26065949.0
2023-10-20,135.47,136.01,133.22,133.74,26335673.0
2023-10-23,133.18,135.7999,132.09,134.64,26317793.0
2023-10-24,135.97,137.4999,135.56,136.95,44814170.0
2023-10-25,126.3,126.45,123.21,123.75,84365888.0
2023-10-26,121.41,122.4697,119.41,120.42,57061136.0
2023-10-27,121.02,121.45,118.3457,120.31,44566471.0
2023-10-30,121.35,123.54,120.89,122.6,28939527.0
2023-10-31,123.2,123.51,120.825,122.22,26291893.0
2023-11-01,122.21,124.63,121.855,124.59,30082336.0
2023-11-02,126.56,127.12,125.07,125.63,27124377.0
2023-11-03,126.16,127.665,126.0,127.24,26393087.0
2023-11-06,127.19,128.48,126.81,128.39,19052709.0
2023-11-07,128.85,130.05,128.02,129.11,29757264.0
