date,open,high,low,close,volume
2023-06-28,279.67,284.4,278.91,280.14,16722117.0
2023-06-29,279.35,281.42,275.54,276.38,15395690.0
2023-06-30,279.61,283.9,279.27,281.83,19694872.0
2023-07-03,281.55,284.25,279.7,280.87,8629269.0
2023-07-05,282.5,292.97,281.21,289.22,33865457.0
2023-07-06,290.74,292.97,286.16,286.84,47733829.0
2023-07-07,287.03,291.05,283.51,285.38,25585975.0
2023-07-10,290.4,292.98,281.9,288.95,37058306.0
2023-07-11,288.75,295.03,286.75,293.14,27585918.0
2023-07-12,296.6,304.3,294.95,304.19,36677127.0
2023-07-13,308.47,311.09,305.14,308.26,30280972.0
2023-07-14,306.64,309.73,302.21,303.72,23054108.0
2023-07-17,302.39,306.56,299.56,305.47,25323126.0
2023-07-18,305.73,309.05,302.47,306.9,20764580.0
2023-07-19,307.88,313.53,305.37,310.86,21763688.0
2023-07-20,308.35,310.39,297.07,297.37,23836876.0
2023-07-21,299.42,300.31,286.05,289.11,42139259.0
2023-07-24,290.63,292.37,283.15,286.46,24949405.0
2023-07-25,290.04,293.15,286.71,289.32,19585584.0
2023-07-26,296.04,296.62,286.75,293.42,47256930.0
2023-07-27,319.97,320.2,304.69,306.56,64229173.0
2023-07-28,311.73,321.05,309.1,320.33,39220270.0
2023-07-31,318.54,320.51,312.44,313.45,25799603.0
2023-08-01,312.39,318.99,309.51,317.56,22889870.0
2023-08-02,312.85,313.24,305.5,309.16,20461094.0
2023-08-03,304.78,310.8,304.78,308.04,15215422.0
2023-08-04,309.81,313.26,305.05,305.58,17612762.0
2023-08-07,308.08,311.92,305.31,311.41,16236504.0
2023-08-08,309.25,312.74,304.96,307.49,15183532.0
2023-08-09,307.73,308.48,297.7,300.06,19955783.0
2023-08-10,302.79,307.19,298.72,300.59,14358897.0
2023-08-11,297.42,299.57,295.21,296.49,14046250.0
2023-08-14,295.83,301.06,293.1,301.04,15641921.0
2023-08-15,300.99,302.08,294.88,296.8,11623613.0
2023-08-16,295.05,295.93,289.13,289.14,18547741.0
2023-08-17,287.9,290.9,279.8,279.94,23950089.0
2023-08-18,273.88,280.54,269.23,278.1,35347925.0
2023-08-21,278.3,285.35,276.7,284.75,20181475.0
2023-08-22,287.4,287.75,281.6,282.45,12999913.0
2023-08-23,283.35,292.25,282.52,289.09,18287001.0
2023-08-24,293.35,294.31,281.49,281.6,18360882.0
2023-08-25,280.98,283.24,270.88,280.35,23701443.0
2023-08-28,282.85,286.3,280.65,285.11,14239285.0
2023-08-29,283.44,294.0,283.03,292.84,20844522.0
2023-08-30,292.02,293.14,288.28,289.95,17717024.0
2023-08-31,290.65,295.95,290.51,290.74,17229865.0
2023-09-01,294.22,296.59,289.32,291.23,12842257.0
2023-09-05,291.87,296.24,290.36,295.0,14955989.0
2023-09-06,296.56,298.15,290.51,294.02,15418092.0
2023-09-07,292.85,301.9,287.07,293.52,33748737.0
