date,open,high,low,close,volume
1984-09-07,-10.3514,-10.3498,-10.3525,-10.3514,2981600.0
1984-09-10,-10.3514,-10.3509,-10.3542,-10.352,2346400.0
1984-09-11,-10.3509,-10.3475,-10.3509,-10.3498,5444000.0
1984-09-12,-10.3498,-10.3492,-10.3531,-10.3531,4773600.0
1984-09-13,-10.347,-10.3464,-10.347,-10.347,7429600.0
1984-09-14,-10.3464,-10.3425,-10.3464,-10.3453,8826400.0
1984-09-17,-10.342,-10.3403,-10.342,-10.342,6886400.0
1984-09-18,-10.342,-10.3408,-10.3464,-10.3464,3495200.0
1984-09-19,-10.3464,-10.3453,-10.3492,-10.3492,3816000.0
1984-09-20,-10.3487,-10.3475,-10.3487,-10.3487,2387200.0
1984-09-21,-10.3487,-10.3453,-10.3514,-10.3498,3591200.0
1984-09-24,-10.3498,-10.3492,-10.3509,-10.3509,2833600.0
1984-09-25,-10.3514,-10.3514,-10.3531,-10.3531,5977600.0
1984-09-26,-10.3531,-10.3481,-10.3548,-10.3548,3987200.0
1984-09-27,-10.3548,-10.3542,-10.3548,-10.3548,3796000.0
1984-09-28,-10.3548,-10.3548,-10.3598,-10.3576,8344800.0
1984-10-01,-10.3581,-10.3581,-10.3603,-10.3603,3521600.0
1984-10-02,-10.3592,-10.3553,-10.3592,-10.3592,4258400.0
1984-10-03,-10.3576,-10.3559,-10.3576,-10.3576,4335200.0
1984-10-04,-10.3565,-10.3553,-10.3565,-10.3565,4482400.0
1984-10-05,-10.3565,-10.3565,-10.3592,-10.3587,3510400.0
1984-10-08,-10.3587,-10.3581,-10.3587,-10.3587,1721600.0
1984-10-09,-10.3587,-10.3581,-10.3598,-10.3598,4515200.0
1984-10-10,-10.3598,-10.3598,-10.3632,-10.3632,13070400.0
1984-10-11,-10.3632,-10.3603,-10.3637,-10.3637,6553600.0
1984-10-12,-10.3637,-10.3632,-10.3693,-10.3682,9522400.0
1984-10-15,-10.3626,-10.3615,-10.3626,-10.3626,8715200.0
1984-10-16,-10.3626,-10.362,-10.3632,-10.3632,4246400.0
1984-10-17,-10.3587,-10.3581,-10.3587,-10.3587,5636000.0
1984-10-18,-10.3553,-10.3548,-10.3553,-10.3553,8842400.0
1984-10-19,-10.3553,-10.3475,-10.3559,-10.3553,11673600.0
1984-10-22,-10.3553,-10.3537,-10.3565,-10.3565,4108800.0
1984-10-23,-10.3537,-10.3525,-10.3537,-10.3537,6668800.0
1984-10-24,-10.3525,-10.3514,-10.3525,-10.3525,5989600.0
1984-10-25,-10.3525,-10.3525,-10.357,-10.357,5676000.0
1984-10-26,-10.357,-10.357,-10.3603,-10.3598,4113600.0
1984-10-29,-10.3592,-10.3587,-10.3592,-10.3592,1836000.0
1984-10-30,-10.3581,-10.357,-10.3581,-10.3581,2677600.0
1984-10-31,-10.3581,-10.357,-10.3587,-10.3587,2191200.0
1984-11-01,-10.3581,-10.357,-10.3581,-10.3581,1680000.0
1984-11-02,-10.3581,-10.3576,-10.3592,-10.3587,1004800.0
1984-11-05,-10.3587,-10.3565,-10.3592,-10.3592,3764800.0
1984-11-06,-10.3525,-10.352,-10.3525,-10.3525,8073600.0
1984-11-07,-10.3525,-10.352,-10.3548,-10.3548,8286400.0
1984-11-08,-10.3548,-10.3548,-10.3592,-10.3592,3162400.0
1984-11-09,-10.3592,-10.3587,-10.367,-10.3659,10518400.0
1984-11-12,-10.362,-10.3615,-10.362,-10.362,4070400.0
1984-11-13,-10.362,-10.3598,-10.3648,-10.3648,4548800.0
1984-11-14,-10.3637,-10.3626,-10.3637,-10.3637,3752800.0
1984-11-15,-10.3637,-10.3626,-10.3637,-10.3637,3833600.0
1984-11-16,-10.3637,-10.362,-10.3665,-10.3659,5920000.0
1984-11-19,-10.3659,-10.3654,-10.3721,-10.3721,8321600.0
1984-11-20,-10.3687,-10.3682,-10.3687,-10.3687,9424800.0
1984-11-21,-10.3665,-10.3659,-10.3665,-10.3665,6418400.0
1984-11-23,-10.3654,-10.362,-10.3654,-10.3637,4904800.0
1984-11-26,-10.3626,-10.3626,-10.3626,-10.3626,3636000.0
1984-11-27,-10.3598,-10.3587,-10.3598,-10.3598,4590400.0
1984-11-28,-10.3542,-10.3514,-10.3542,-10.3542,14673600.0
1984-11-29,-10.3542,-10.3542,-10.3565,-10.3565,6248800.0
1984-11-30,-10.3565,-10.3553,-10.3598,-10.3592,3906400.0
1984-12-03,-10.3592,-10.3587,-10.3609,-10.3609,3533600.0
1984-12-04,-10.3587,-10.3565,-10.3587,-10.3587,4332800.0
1984-12-05,-10.3531,-10.3531,-10.3531,-10.3531,9406400.0
1984-12-06,-10.3475,-10.347,-10.3475,-10.3475,11360000.0
1984-12-07,-10.3475,-10.3431,-10.3487,-10.3481,17696000.0
1984-12-10,-10.3481,-10.3481,-10.3503,-10.3503,4016000.0
1984-12-11,-10.3503,-10.3487,-10.352,-10.352,4432800.0
1984-12-12,-10.352,-10.352,-10.3559,-10.3559,3937600.0
1984-12-13,-10.3548,-10.3525,-10.3548,-10.3548,2424800.0
1984-12-14,-10.3548,-10.3509,-10.3548,-10.352,3475200.0
1984-12-17,-10.3492,-10.3481,-10.3492,-10.3492,4513600.0
1984-12-18,-10.342,-10.3414,-10.342,-10.342,12164800.0
1984-12-19,-10.342,-10.3414,-10.347,-10.347,11372800.0
1984-12-20,-10.347,-10.3447,-10.3475,-10.3475,5013600.0
1984-12-21,-10.3475,-10.347,-10.3503,-10.3492,4438400.0
