date,open,high,low,close,volume
1983-12-30,-29.1133,-28.9467,-29.28,-29.1133,211500.0
1984-01-03,-29.1333,-29.03,-29.2367,-29.1133,385500.0
1984-01-04,-28.8333,-28.4867,-29.03,-28.4867,292500.0
1984-01-05,-28.1767,-27.9867,-28.3633,-27.9867,344100.0
1984-01-06,-28.1533,-27.9867,-28.32,-28.1533,194400.0
1984-01-09,-28.1133,-27.9867,-28.2367,-28.1133,216300.0
1984-01-10,-27.8833,-27.6967,-28.07,-27.82,143100.0
1984-01-11,-27.82,-27.4467,-27.9867,-27.4867,397800.0
1984-01-12,-27.4867,-27.2367,-27.57,-27.32,297900.0
1984-01-13,-27.1533,-27.03,-27.28,-27.2367,591300.0
1984-01-16,-27.32,-27.2367,-27.4033,-27.4033,103800.0
1984-01-17,-27.4033,-27.4033,-27.78,-27.6967,134100.0
1984-01-18,-27.4667,-27.28,-27.6533,-27.32,1352700.0
1984-01-19,-27.32,-27.2367,-27.4033,-27.32,245100.0
1984-01-20,-27.32,-27.32,-27.53,-27.4467,168300.0
1984-01-23,-27.3,-27.1967,-27.4033,-27.2367,246000.0
1984-01-24,-27.1333,-27.03,-27.2367,-27.03,292500.0
1984-01-25,-26.8,-26.6967,-26.9033,-26.8633,243000.0
1984-01-26,-26.8633,-26.82,-27.07,-27.03,212400.0
1984-01-27,-27.03,-27.03,-27.2367,-27.1133,183000.0
1984-01-30,-27.1967,-27.1533,-27.2367,-27.1967,99900.0
1984-01-31,-27.1967,-26.6967,-27.1967,-26.9467,352200.0
1984-02-01,-26.9467,-26.78,-27.2367,-27.1967,225300.0
1984-02-02,-27.1967,-27.1533,-27.32,-27.32,230700.0
1984-02-03,-27.1133,-26.9467,-27.28,-27.1967,319800.0
1984-02-06,-27.4667,-27.2367,-27.6967,-27.57,67500.0
1984-02-07,-27.78,-27.6533,-27.9033,-27.78,212400.0
1984-02-08,-27.78,-27.4867,-27.9033,-27.6967,395100.0
1984-02-09,-27.6967,-27.6133,-27.8633,-27.78,196500.0
1984-02-10,-27.78,-27.57,-27.78,-27.57,232500.0
1984-02-13,-27.57,-27.4467,-27.6133,-27.6133,324000.0
1984-02-14,-27.6133,-27.28,-27.6533,-27.28,135000.0
1984-02-15,-27.28,-26.9467,-27.3633,-27.03,543600.0
1984-02-16,-27.03,-26.6533,-27.1133,-26.78,362100.0
1984-02-17,-26.78,-26.7367,-27.07,-27.07,654300.0
1984-02-21,-27.07,-26.9867,-27.2367,-27.2367,108000.0
1984-02-22,-27.2367,-27.1533,-27.6967,-27.6967,197400.0
1984-02-23,-27.6967,-27.6533,-28.07,-27.8633,466200.0
1984-02-24,-27.8633,-27.6967,-27.9467,-27.78,66600.0
1984-02-27,-27.78,-27.57,-28.07,-27.57,613200.0
1984-02-28,-27.7167,-27.6133,-27.9033,-27.78,294300.0
