date,open,high,low,close,volume
1986-01-02,-0.79,-0.665,-1.1975,-1.1025,12158400.0
1986-01-03,-1.1025,-0.915,-1.165,-1.04,5308800.0
1986-01-06,-1.04,-0.915,-1.135,-1.04,5352000.0
1986-01-07,-1.04,-0.6975,-1.04,-0.6975,11481600.0
1986-01-08,-0.6975,-0.665,-1.3525,-1.3525,15825600.0
1986-01-09,-1.3525,-1.3525,-1.79,-1.54,17812800.0
1986-01-10,-1.54,-1.4475,-1.6975,-1.5725,7752000.0
1986-01-13,-1.6025,-1.6025,-2.01,-1.885,8832000.0
1986-01-14,-1.885,-1.8525,-2.135,-1.9475,20016000.0
1986-01-15,-1.9475,-1.8525,-2.01,-1.915,15182400.0
1986-01-16,-1.915,-1.915,-2.3225,-1.915,23395200.0
1986-01-17,-1.915,-1.7275,-2.01,-1.8225,24681600.0
1986-01-20,-1.8225,-1.8225,-2.1975,-2.04,7176000.0
1986-01-21,-2.04,-1.9475,-2.3525,-2.2275,6724800.0
1986-01-22,-2.2275,-2.1975,-2.7275,-2.665,9528000.0
1986-01-23,-2.665,-2.135,-2.665,-2.165,11040000.0
1986-01-24,-2.165,-1.76,-2.3525,-1.8525,14702400.0
1986-01-27,-1.8525,-1.76,-1.915,-1.885,7920000.0
1986-01-28,-1.8525,-1.54,-1.8525,-1.54,14865600.0
1986-01-29,-1.4775,-0.8225,-1.4775,-1.165,17308800.0
1986-01-30,-1.165,-1.135,-1.3525,-1.26,13608000.0
1986-01-31,-1.26,-0.8525,-1.29,-0.9475,17462400.0
1986-02-03,-0.9475,-0.6025,-1.01,-0.6975,13281600.0
1986-02-04,-0.6975,-0.3525,-0.76,-0.51,17548800.0
1986-02-05,-0.51,-0.4775,-0.76,-0.54,11592000.0
1986-02-06,-0.54,-0.4775,-0.79,-0.635,16665600.0
1986-02-07,-0.635,-0.635,-1.3525,-0.7275,24057600.0
1986-02-10,-0.7275,-0.4775,-0.76,-0.4775,8078400.0
1986-02-11,-0.51,-0.51,-0.79,-0.635,6604800.0
1986-02-12,-0.635,-0.635,-0.8525,-0.8225,5630400.0
1986-02-13,-0.8225,-0.54,-1.3225,-0.54,9345600.0
1986-02-14,-0.54,-0.3525,-0.665,-0.415,13881600.0
1986-02-18,-0.415,0.085,-0.415,0.085,12676800.0
1986-02-19,0.085,0.085,-0.3225,-0.29,11443200.0
1986-02-20,-0.29,0.6775,-0.29,0.6475,16814400.0
1986-02-21,0.6475,1.0225,0.585,1.0225,28584000.0
1986-02-24,1.0225,1.1475,0.8025,1.0525,13881600.0
1986-02-25,1.0525,1.085,0.7725,0.99,10281600.0
1986-02-26,0.99,1.4275,0.9275,1.21,11640000.0
1986-02-27,1.335,2.6475,1.335,2.46,18547200.0
1986-02-28,2.46,2.49,2.0225,2.1475,12590400.0
1986-03-03,2.1475,2.1475,1.74,1.7725,8947200.0
1986-03-04,1.7725,2.085,1.5225,1.585,15868800.0
1986-03-05,1.585,1.8025,1.4275,1.74,14193600.0
1986-03-06,1.835,2.335,1.835,2.21,12873600.0
1986-03-07,2.24,2.9275,2.24,2.7725,12796800.0
1986-03-10,2.7725,3.085,2.46,3.0525,14596800.0
1986-03-11,3.0525,3.3025,2.9275,3.1475,12705600.0
1986-03-12,3.1475,4.2725,3.0525,3.71,17918400.0
1986-03-13,3.71,4.21,3.46,4.115,14832000.0
1986-03-14,4.21,5.585,4.21,5.2725,33422400.0
1986-03-17,4.835,4.835,4.21,4.71,24484800.0
1986-03-18,4.71,5.21,4.3975,4.835,24192000.0
1986-03-19,4.835,5.21,4.6475,5.0225,18340800.0
1986-03-20,5.0225,5.21,4.835,4.96,16713600.0
1986-03-21,4.96,5.2725,3.8975,3.9275,37411200.0
1986-03-24,4.21,4.5525,4.21,4.3025,19588800.0
1986-03-25,4.3025,4.335,4.085,4.085,9374400.0
1986-03-26,4.1775,4.71,4.1775,4.5525,13022400.0
1986-03-27,4.5525,4.99,4.3975,4.585,13267200.0
1986-03-31,4.585,5.0225,4.335,4.3975,9441600.0
1986-04-01,4.335,4.335,3.7725,3.8025,15691200.0
1986-04-02,3.8025,4.1475,3.5225,4.0525,16828800.0
1986-04-03,4.0525,4.585,3.21,3.49,15172800.0
