date,open,high,low,close,volume
1986-03-13,-35.5515,-35.5384,-35.5515,-35.5428,1031788800.0
1986-03-14,-35.5428,-35.5376,-35.5428,-35.5393,308160000.0
1986-03-17,-35.5393,-35.5367,-35.5393,-35.5376,133171200.0
1986-03-18,-35.5376,-35.5367,-35.541,-35.5402,67766400.0
1986-03-19,-35.5402,-35.5393,-35.5428,-35.5419,47894400.0
1986-03-20,-35.5419,-35.5419,-35.5454,-35.5445,58435200.0
1986-03-21,-35.5445,-35.5428,-35.5489,-35.5471,59990400.0
1986-03-24,-35.5471,-35.5471,-35.5506,-35.5497,65289600.0
1986-03-25,-35.5497,-35.548,-35.5506,-35.548,32083200.0
1986-03-26,-35.548,-35.5445,-35.5489,-35.5454,22752000.0
1986-03-27,-35.5454,-35.5436,-35.5454,-35.5436,16848000.0
1986-03-31,-35.5436,-35.5436,-35.5463,-35.5445,12873600.0
1986-04-01,-35.5445,-35.5445,-35.5454,-35.5454,11088000.0
1986-04-02,-35.5454,-35.5428,-35.5454,-35.5445,27014400.0
1986-04-03,-35.5436,-35.541,-35.5436,-35.5436,23040000.0
1986-04-04,-35.5436,-35.5428,-35.5436,-35.5436,26582400.0
1986-04-07,-35.5436,-35.5428,-35.5471,-35.5454,16560000.0
1986-04-08,-35.5454,-35.5428,-35.5454,-35.5445,10252800.0
1986-04-09,-35.5445,-35.5419,-35.5445,-35.5428,12153600.0
1986-04-10,-35.5428,-35.541,-35.5445,-35.5419,13881600.0
1986-04-11,-35.541,-35.5384,-35.541,-35.5402,17222400.0
1986-04-14,-35.5402,-35.5384,-35.5402,-35.5393,12153600.0
1986-04-15,-35.5393,-35.5393,-35.5428,-35.5393,9302400.0
1986-04-16,-35.5393,-35.535,-35.5402,-35.5358,31910400.0
1986-04-17,-35.5358,-35.535,-35.5358,-35.535,22003200.0
1986-04-18,-35.535,-35.535,-35.5393,-35.5384,21628800.0
1986-04-21,-35.5384,-35.5376,-35.541,-35.5384,22924800.0
1986-04-22,-35.5384,-35.5384,-35.5402,-35.5402,15552000.0
1986-04-23,-35.5402,-35.5393,-35.541,-35.5398,15609600.0
1986-04-24,-35.5398,-35.528,-35.5402,-35.5298,62352000.0
1986-04-25,-35.5289,-35.518,-35.5289,-35.5228,85795200.0
1986-04-28,-35.5228,-35.5211,-35.5237,-35.5219,28886400.0
1986-04-29,-35.5219,-35.5219,-35.5263,-35.5254,30326400.0
1986-04-30,-35.5254,-35.5245,-35.5306,-35.528,30902400.0
1986-05-01,-35.528,-35.528,-35.5315,-35.5298,54345600.0
1986-05-02,-35.5298,-35.528,-35.5306,-35.5298,20246400.0
1986-05-05,-35.5298,-35.5298,-35.5306,-35.5306,3254400.0
1986-05-06,-35.5298,-35.528,-35.5298,-35.5298,9734400.0
1986-05-07,-35.5298,-35.5289,-35.5315,-35.5298,5155200.0
