date,open,high,low,close,volume
2001-01-02,58.3501,58.5101,53.9101,55.1601,8732200.0
2001-01-03,54.6601,62.3501,54.0101,61.3501,17523900.0
2001-01-04,61.2901,61.8201,59.3501,59.9001,9095400.0
2001-01-05,59.8201,59.9701,55.5401,55.5401,12884700.0
2001-01-08,56.2301,56.5401,53.9701,56.5401,6552200.0
2001-01-09,57.4001,57.8501,55.7701,56.1901,5602700.0
2001-01-10,55.3501,58.4701,55.1601,58.4701,8725200.0
2001-01-11,57.4401,59.8301,57.4401,58.6001,6697900.0
2001-01-12,59.0401,60.0701,57.6301,58.3501,7064900.0
2001-01-16,58.3501,59.5401,57.8701,59.1901,8416500.0
2001-01-17,61.1901,61.4001,58.9901,59.8001,7800500.0
2001-01-18,59.7901,62.0501,59.2901,61.1301,8089500.0
2001-01-19,62.5401,62.5401,60.2301,60.3701,7775800.0
2001-01-22,60.6001,62.1301,59.9101,61.2601,7037200.0
2001-01-23,60.8201,63.0101,60.5101,62.3201,8453800.0
2001-01-24,62.6001,63.6601,62.1901,62.7301,6174100.0
2001-01-25,62.6001,63.6001,62.0101,62.3801,10807000.0
2001-01-26,61.5101,62.4701,60.8001,62.2301,7063300.0
2001-01-29,61.8501,63.2501,61.7201,62.9501,6651300.0
2001-01-30,62.6501,64.2701,62.1401,64.1501,7025100.0
2001-01-31,63.7501,65.0501,62.9501,63.3701,9672500.0
2001-02-01,63.4501,64.3001,62.6001,64.2801,8223800.0
2001-02-02,63.7501,64.3401,61.1001,61.1501,8187900.0
2001-02-05,61.1501,62.2901,61.1001,62.1401,4280900.0
2001-02-06,61.6501,63.0501,61.5701,61.7401,7092200.0
2001-02-07,61.0701,61.7501,60.0301,61.0401,5689800.0
2001-02-08,61.1501,61.7501,59.4501,59.4701,5876800.0
2001-02-09,59.7001,59.7001,57.6101,58.1901,9871200.0
2001-02-12,58.0501,59.8501,58.0501,59.7001,5790300.0
2001-02-13,60.0501,60.5201,58.3501,58.6101,6583200.0
2001-02-14,59.0001,59.0001,57.0101,58.4101,8390200.0
2001-02-15,59.1901,59.8701,58.3401,59.6901,5881800.0
2001-02-16,57.3501,57.6401,55.6501,56.7501,6432800.0
2001-02-20,57.3901,57.4901,54.4501,54.7401,5755300.0
2001-02-21,54.2501,55.1901,51.8501,51.9701,10789800.0
2001-02-22,52.7001,52.8901,49.3701,52.1601,21274700.0
2001-02-23,51.4301,51.8901,48.1501,51.3101,16180100.0
2001-02-26,52.1501,53.9701,50.8501,53.9701,10071200.0
2001-02-27,53.1501,54.1901,51.8601,52.7901,11298900.0
2001-02-28,53.1001,53.1901,49.6201,50.3001,14257100.0
2001-03-01,50.4001,51.1001,48.1001,50.9501,14456700.0
2001-03-02,48.8501,52.0001,48.6501,49.9601,12535400.0
2001-03-05,50.5001,51.1301,50.1601,51.0901,5234300.0
2001-03-06,52.7001,54.1001,51.8401,52.4301,6910400.0
2001-03-07,53.2501,53.3901,52.1101,53.3301,6299300.0
2001-03-08,52.9501,53.5901,52.4901,53.4701,5952000.0
2001-03-09,52.4501,52.4501,49.4601,49.7101,10014000.0
2001-03-12,48.6901,48.8501,44.1001,44.4301,12786500.0
2001-03-13,45.7501,46.7901,43.8801,46.3701,12765100.0
2001-03-14,43.4001,45.6401,42.1001,44.0001,17944100.0
2001-03-15,44.8001,45.2101,43.7101,44.0301,8661700.0
2001-03-16,43.4801,43.7501,41.1601,41.3601,36444400.0
2001-03-19,42.1101,44.0401,41.1701,43.7001,10029100.0
2001-03-20,44.2501,44.8101,40.4501,40.5501,14470800.0
2001-03-21,40.5301,41.6101,38.2501,38.6101,18326300.0
2001-03-22,38.3701,38.9501,34.3901,37.4701,26155700.0
2001-03-23,39.6001,41.0101,37.8501,40.8301,12807500.0
2001-03-26,42.0501,42.6201,41.1201,42.2901,9924800.0
2001-03-27,41.9701,45.0001,41.6301,44.6601,12762700.0
2001-03-28,43.2501,43.3001,41.2501,41.3901,10690800.0
2001-03-29,41.0501,42.8501,35.6901,41.8301,11930500.0
2001-03-30,41.9001,43.0401,40.8501,43.0401,8957900.0
2001-04-02,42.6501,43.7301,40.1501,40.5501,10466500.0
2001-04-03,40.3301,40.5001,36.4101,36.7401,12519900.0
2001-04-04,36.9301,38.4501,35.6501,37.2001,14778300.0
2001-04-05,39.6501,41.8401,38.8501,41.4001,16180200.0
2001-04-06,40.3401,40.7501,38.4101,39.6501,14827200.0
2001-04-09,40.3501,41.3401,39.1301,40.9101,8935300.0
2001-04-10,41.8001,44.1001,41.5201,43.0001,16173500.0
2001-04-11,45.1301,45.3401,42.4901,43.0801,12557000.0
2001-04-12,42.6501,45.2901,42.3101,45.2001,9142900.0
2001-04-16,44.6401,45.2401,43.2601,43.9501,7101700.0
2001-04-17,43.6601,46.0101,43.3701,45.6101,10498100.0
2001-04-18,47.4101,52.3501,47.0401,50.3501,20229000.0
2001-04-19,50.6001,52.2101,49.9301,52.0001,13688300.0
2001-04-20,51.2501,51.7501,50.0101,50.8501,7550500.0
2001-04-23,50.0001,50.2401,47.6601,48.5901,8397700.0
2001-04-24,48.8701,50.0001,47.4501,47.9301,9960400.0
2001-04-25,47.7701,50.0201,47.3001,49.4601,8218000.0
2001-04-26,50.0801,51.5701,49.8501,50.0701,10497500.0
